Lamp_ID,Zone,Lamp_Type,Lamp_Status,Operating_Hours,Energy_Consumption,Date_Time,Voltage,Current,Previous_Faults,Lamp_Age,Fault_Status
SL-1001,Downtown Commercial,LED (Smart),Active,4520.5,34.20,2026-08-12 21:00:00,224.5,0.39,0,18,0
SL-1002,Downtown Commercial,HPS (High Pressure Sodium),Active,11240.0,102.50,2026-08-12 21:00:00,221.8,1.22,2,54,1
SL-1003,Industrial Corridor,Metal Halide,Maintenance Required,14580.2,118.40,2026-08-12 21:30:00,188.4,1.65,4,62,1
SL-1004,North Residential,LED (Smart),Active,3200.1,26.80,2026-08-12 22:00:00,226.2,0.36,0,12,0
SL-1005,Tech Park Sector 5,Solar-Hybrid LED,Active,2150.0,12.50,2026-08-12 22:00:00,228.1,0.21,0,8,0
SL-1006,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,9870.4,94.20,2026-08-12 22:15:00,191.2,1.38,3,48,1
SL-1007,Suburban Ring,LED (Smart),Active,5120.0,29.40,2026-08-12 22:30:00,223.5,0.37,1,22,0
SL-1008,Downtown Commercial,Metal Halide,Active,13200.5,110.20,2026-08-12 22:30:00,220.0,1.30,2,58,1
SL-1009,North Residential,LED (Smart),Active,2890.2,25.10,2026-08-12 23:00:00,225.4,0.35,0,10,0
SL-1010,Industrial Corridor,HPS (High Pressure Sodium),Active,10850.3,99.80,2026-08-12 23:00:00,218.6,1.25,3,50,1
SL-1011,Downtown Commercial,LED (Smart),Active,6100.0,36.50,2026-08-13 00:00:00,224.0,0.40,0,24,0
SL-1012,Tech Park Sector 5,LED (Smart),Active,3400.8,24.20,2026-08-13 00:00:00,227.0,0.34,0,14,0
SL-1013,Harbor Waterfront,Metal Halide,Maintenance Required,15420.0,124.00,2026-08-13 00:30:00,186.2,1.72,5,66,1
SL-1014,Suburban Ring,HPS (High Pressure Sodium),Active,8900.5,86.40,2026-08-13 01:00:00,222.1,1.14,1,42,0
SL-1015,North Residential,Solar-Hybrid LED,Active,1800.0,13.20,2026-08-13 01:00:00,226.8,0.22,0,6,0
SL-1016,Downtown Commercial,HPS (High Pressure Sodium),Active,12100.2,105.80,2026-08-13 01:30:00,219.4,1.26,3,56,1
SL-1017,Industrial Corridor,LED (Smart),Active,4950.0,35.10,2026-08-13 02:00:00,223.8,0.39,0,19,0
SL-1018,Tech Park Sector 5,LED (Smart),Active,2980.4,23.50,2026-08-13 02:00:00,227.5,0.33,0,11,0
SL-1019,Downtown Commercial,LED (Smart),Active,4200.0,33.10,2026-08-13 02:30:00,225.1,0.38,0,16,0
SL-1020,Harbor Waterfront,LED (Smart),Active,6800.2,31.40,2026-08-13 03:00:00,221.5,0.39,1,28,0
SL-1021,Suburban Ring,LED (Smart),Active,4100.0,28.20,2026-08-13 03:00:00,224.2,0.37,0,15,0
SL-1022,Industrial Corridor,Metal Halide,Active,13900.0,115.00,2026-08-13 03:30:00,217.9,1.35,3,60,1
SL-1023,North Residential,LED (Smart),Active,3500.5,27.00,2026-08-13 04:00:00,226.0,0.36,0,13,0
SL-1024,Downtown Commercial,HPS (High Pressure Sodium),Inactive,14200.0,0.00,2026-08-13 04:00:00,0.0,0.00,4,64,1
