Lamp_ID,Zone,Lamp_Type,Lamp_Status,Operating_Hours,Energy_Consumption,Date_Time,Voltage,Current,Previous_Faults,Lamp_Age,Fault_Status
SL-1001,North Residential,Solar-Hybrid LED,Active,2798.6,14.8,2026-09-19 23:24:11,254.4,0.19,0,11,0
SL-1002,Suburban Ring,HPS (High Pressure Sodium),Active,3402.2,78.29,2026-08-25 06:24:11,227.7,1.14,0,45,0
SL-1003,Tech Park Sector 5,LED (Smart),Active,4737.6,27.86,2026-08-22 18:24:11,222.3,0.4,1,21,0
SL-1004,Downtown Commercial,LED (Smart),Active,5176.0,39.65,2026-09-04 01:24:11,216.2,0.39,0,7,0
SL-1005,North Residential,LED (Smart),Active,1950.1,31.21,2026-07-28 12:24:11,256.8,0.33,1,32,0
SL-1006,Harbor Waterfront,LED (Smart),Maintenance Required,5112.5,23.47,2026-08-27 14:24:11,230.3,0.43,0,36,1
SL-1007,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,17930.7,68.42,2026-06-27 16:24:11,177.0,1.77,1,37,1
SL-1008,Harbor Waterfront,LED (Smart),Active,7721.3,24.92,2026-07-21 23:24:11,228.7,0.36,1,35,0
SL-1009,Downtown Commercial,LED (Smart),Active,5116.0,28.09,2026-07-18 02:24:11,184.7,0.58,1,16,0
SL-1010,Downtown Commercial,LED (Smart),Active,3774.3,28.75,2026-06-26 09:24:11,220.2,0.39,0,15,1
SL-1011,Tech Park Sector 5,HPS (High Pressure Sodium),Active,14412.6,45.36,2026-09-02 09:24:11,249.4,1.23,1,67,0
SL-1012,Harbor Waterfront,LED (Smart),Active,6221.4,32.47,2026-07-13 18:24:11,226.9,0.42,0,9,0
SL-1013,Downtown Commercial,LED (Smart),Active,3153.6,39.67,2026-06-25 03:24:11,220.4,0.28,0,28,0
SL-1014,Suburban Ring,LED (Smart),Inactive,6269.1,32.3,2026-09-20 14:24:11,227.1,0.49,1,38,0
SL-1015,Downtown Commercial,LED (Smart),Active,1317.8,37.6,2026-09-08 06:24:11,229.3,0.43,0,17,0
SL-1016,Industrial Corridor,Solar-Hybrid LED,Inactive,6976.9,13.07,2026-08-24 03:24:11,227.4,0.22,0,11,0
SL-1017,Suburban Ring,LED (Smart),Active,5668.5,28.26,2026-07-26 10:24:11,226.5,0.37,0,27,0
SL-1018,North Residential,LED (Smart),Active,3209.1,28.29,2026-06-26 04:24:11,225.7,0.31,0,6,0
SL-1019,North Residential,HPS (High Pressure Sodium),Active,13947.3,96.59,2026-09-19 02:24:11,,1.16,1,30,0
SL-1020,Industrial Corridor,LED (Smart),Active,5069.7,35.89,2026-06-28 18:24:11,180.8,0.63,0,28,1
SL-1021,Industrial Corridor,HPS (High Pressure Sodium),Active,4437.1,87.88,2026-09-22 08:24:11,225.8,1.14,2,63,0
SL-1022,Suburban Ring,LED (Smart),Active,3371.7,32.63,2026-08-29 23:24:11,219.3,0.51,0,35,0
SL-1023,Downtown Commercial,LED (Smart),Active,5598.9,14.58,2026-07-26 16:24:11,228.5,0.32,0,31,0
